0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0.013	0	0	0	0	0	0
0.026	0.007	0	0	0	0	0
0.053	0.013	0	0	0	0	0
0.12	0.04	0	0	0	0	0
0.2	0.083	0	0	0	0	0
0.4	0.16	0	0	0	0	0
0.8	0.26	0	0	0	0	0
1	0.53	0	0	0	0	0
0.9	0.9	0.016	0	0	0	0
0.45	0.96	0.026	0	0	0	0
0.3	0.73	0.046	0	0	0	0
0.21	0.45	0.07	0.02	0	0	0
0.14	0.31	0.12	0.03	0	0	0
0.1	0.23	0.16	0.04	0	0	0
0.06	0.16	0.26	0.06	0	0	0
0.03	0.12	0.46	0.09	0	0	0
0.013	0.08	0.75	0.147	0	0	0
0.007	0.04	0.96	0.23	0	0	0
0	0.017	1	0.34	0	0	0
0	0.013	0.87	0.5	0	0	0
0	0	0.71	0.71	0	0	0
0	0	0.53	0.96	0	0	0
0	0	0.4	1	0	0	0
0	0	0.32	0.96	0	0	0
0	0	0.24	0.86	0	0	0
0	0	0.17	0.71	0	0	0
0	0	0.11	0.56	0	0	0
0	0	0.07	0.44	0	0	0
0	0	0.04	0.34	0	0	0
0	0	0.03	0.27	0.01	0	0
0	0	0.02	0.21	0.04	0	0
0	0	0.01	0.17	0.073	0	0
0	0	0	0.147	0.147	0	0
0	0	0	0.11	0.35	0	0
0	0	0	0.08	0.62	0.01	0
0	0	0	0.05	0.99	0.02	0
0	0	0	0.04	0.93	0.03	0
0	0	0	0.027	0.53	0.06	0.01
0	0	0	0.013	0.25	0.1	0.023
0	0	0	0	0.12	0.17	0.04
0	0	0	0	0.07	0.25	0.07
0	0	0	0	0.04	0.4	0.13
0	0	0	0	0.03	0.8	0.3
0	0	0	0	0.013	1	0.45
0	0	0	0	0	0.8	0.8
0	0	0	0	0	0.4	1
0	0	0	0	0	0.25	0.8
0	0	0	0	0	0.17	0.45
0	0	0	0	0	0.1	0.3
0	0	0	0	0	0.06	0.2
0	0	0	0	0	0.03	0.13
0	0	0	0	0	0.02	0.07
0	0	0	0	0	0.01	0.04
0	0	0	0	0	0	0.023
0	0	0	0	0	0	0.01
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
